,Job_Title,Company,Salary,Location,URL,Days posted
15,HULP GEZOCHT: t/m Kerst in het weekend cadeaus inpakken bij Hudson's Bay in Den Bosch, YoungCapital  New,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9a1fa39f&cb=1542669743153&jobListingId=3028869931,7 days ago
16,Budget Energie zoekt winkelmedewerker voor 32 uur p/w in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8ebdf1f4&cb=1542669743153&jobListingId=2857356893, 5 days ago
17,Heb jij een oog voor mode? Kom werken bij Hudson's Bay in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d49f86d4&cb=1542669743155&jobListingId=2831987943, 2 days ago
18,Regional Sales Engineer, Robert Bosch Tool Corporation  ,$70k-$88k,"Carrollton, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=189299&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0c8051d8&cb=1542669743161&jobListingId=3024666050, 30+ days ago
19,Technical Author, Bosch Security  ,80000,"Plano, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4e0bae8b&cb=1542669743163&jobListingId=3020994746, 9 days ago
20,Field Service Technician (Hydraulics), Bosch Security  ,$23-$36 per hour,"Houston, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c7dd4e53&cb=1542669743164&jobListingId=2943045846, 10 days ago
21,Klantenservice medewerker in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fef44bf7&cb=1542669743165&jobListingId=2930744973, 16 days ago
22,Verkoopmedewerker in een feestwinkel in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_58dd378a&cb=1542669743167&jobListingId=2988731244, 10 days ago
23,Ga aan de slag als promotor voor FITBIT in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1f386bae&cb=1542669743168&jobListingId=2996682243, 4 days ago
24,Planner en inkoper gezocht voor Auto op maat in Den Bosch, YoungCapital  New,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2db671cd&cb=1542669743169&jobListingId=3028872666,7 days ago
25,Parttime thuiszorgmedewerker flexibel in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e10a9b5a&cb=1542669743170&jobListingId=2953280856, 4 days ago
26,Technisch operator 37 uur bij PostNL in Den Bosch, YoungCapital  New,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_777c7670&cb=1542669743171&jobListingId=2997658475,7 days ago
27,Productiemedewerker bij PostNL in december in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c2600c83&cb=1542669743172&jobListingId=3015903874, 13 days ago
28,Technisch operator 32 uur bij PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8bd2e689&cb=1542669743173&jobListingId=2997658448, 3 days ago
29,Entry Level Power Tool Sales - Bosch Tools, AMS Retail Solutions  ,80000,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=85058&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fe7241d2&cb=1542669743174&jobListingId=3024370030, 10 days ago
30,Teamleider landelijk decemberproject van PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6d6d9fd0&cb=1542669743783&jobListingId=2945150936, 9 days ago
31,Betaalde opleiding tot storing- en onderhoudsmonteur bij Heineken in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_869ca317&cb=1542669743784&jobListingId=2752859507, 7 days ago
32,Parttime of fulltime orderpicker gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3a2080b4&cb=1542669743785&jobListingId=3020389030, 10 days ago
33,"Verdien 10,85 per uur als flexibele klantenservice medewerker in Den Bosch", YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_560cdd6d&cb=1542669743787&jobListingId=2943845917, 10 days ago
34,Parttime of fulltime chauffeur gezocht bij Sandd in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a9dc8da2&cb=1542669743788&jobListingId=2943845966, 10 days ago
35,Enthousiaste schoonmaak(st)er gezocht bij YoungCapital Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a981d7f0&cb=1542669743789&jobListingId=3020396077, 10 days ago
36,Data entry medewerkers gezocht in december bij PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e2b540c5&cb=1542669743790&jobListingId=3020379544, 10 days ago
37,Zelf je uren indelen en lekker thuiswerken als klantenservice medewerker (16-36) in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7237e067&cb=1542669743791&jobListingId=2902964482, 9 days ago
38,Oproepbare orderpicker gezocht die een langere tijd beschikbaar is in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0c621943&cb=1542669743792&jobListingId=3021408581, 9 days ago
39,Per direct verkoopmedewerker gezocht voor de koopavonden en zaterdag in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fe9fd939&cb=1542669743793&jobListingId=2900314224, 11 days ago
40,Thuiswerken als klantenservice medewerker voor een energiebedrijf (16-36 uur) in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_168aea87&cb=1542669743794&jobListingId=2902972377, 9 days ago
41,Nachtdiensten in december bij PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_352478b1&cb=1542669743796&jobListingId=3005681008, 23 days ago
42,Parttime of fulltime wasstraat medewerker gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8c92c73b&cb=1542669743797&jobListingId=3005677005, 23 days ago
43,Oproepkrachten gezocht voor leuke klussen in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1c9a6af8&cb=1542669743798&jobListingId=2739691774, 17 days ago
44,"Start als klantadviseur (11,45) in Den Bosch", YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5e7ce4db&cb=1542669743799&jobListingId=2816543833, 17 days ago
45,Leuke fulltime klus in december handcoderen voor PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d2f005a6&cb=1542669743800&jobListingId=3005687356, 23 days ago
46,Parttime Cateringmedewerker gezocht voor diverse locaties in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7ebc85ac&cb=1542669743801&jobListingId=2974728947, 18 days ago
47,Leuke parttime klus in december handcoderen voor PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3ababc8a&cb=1542669743802&jobListingId=3005687122, 23 days ago
48,Commercieel talent gezocht als Recruiter bij YoungCapital Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f7202983&cb=1542669743803&jobListingId=3020384486, 10 days ago
49,Ga vanuit huis aan de slag als klantenservice medewerker voor Toon Eneco in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_30db9218&cb=1542669743805&jobListingId=2987403689, 11 days ago
50,Productiemedewerker tijdens evenementen in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fae67075&cb=1542669743806&jobListingId=2914674973, 26 days ago
51,Klantenservice medewerker in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4568ef1e&cb=1542669743807&jobListingId=2930744973, 16 days ago
52,Ga aan de slag als orderpicker bij een snel groeiend modemerk in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e4142cfb&cb=1542669743808&jobListingId=3018734895, 11 days ago
53,Weekend winkelmedewerker gezocht voor de H&M in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d63378af&cb=1542669743809&jobListingId=2939290684, 12 days ago
54,Tijdelijke functie als recruiter voor PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_28696332&cb=1542669743810&jobListingId=3007715592, 20 days ago
55,Administratief medewerker 32-40 uur in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_16710673&cb=1542669743811&jobListingId=3009773177, 18 days ago
56,"Commercieel medewerker buitendienst gezocht, salaris 11,54 per uur in Den Bosch", YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_be210141&cb=1542669743813&jobListingId=2990348250, 9 days ago
57,Maak de ideale match als Recruiter bij YoungCapital in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_99d61382&cb=1542669743814&jobListingId=2987443828, 11 days ago
58,Receptionist(e) gezocht van 17 t/m 21 december in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3cab0ef8&cb=1542669743819&jobListingId=3015897023, 13 days ago
59,Geen decemberplannen? Word operator bij PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=172489&s=58&guid=000001672e48359bb16d7704d7a4dd61&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_03b38ee4&cb=1542669743820&jobListingId=2945150562, 9 days ago
60,Stage lopen bij het leukste uitzendbureau van Nederland in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e21c8a03&cb=1542669744586&jobListingId=3013070548, 16 days ago
61,Eindbaas gezocht voor project van PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=302&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5bb0d53d&cb=1542669744587&jobListingId=3011786837, 17 days ago
62,Ga als teamleider aan de slag in een technische omgeving in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8e097cb0&cb=1542669744589&jobListingId=3004705235, 24 days ago
63,Ga aan de slag als telemarketeer voor warme leads vlakbij het station in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_69c7f780&cb=1542669744590&jobListingId=2784064828, 16 days ago
64,Ideale bijbaan: nieuw restaurant zoekt personeel voor in de bediening in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a568f6b0&cb=1542669744591&jobListingId=2972752220, 19 days ago
65,Horeca bijbaan voor 8-32 uur per week in het centrum in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1723903d&cb=1542669744592&jobListingId=2922962869, 20 days ago
66,Parttime aan de slag als bezorger bij Sandd in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_558e3f78&cb=1542669744593&jobListingId=2873953577, 24 days ago
67,Magazijnmedewerkers in de nacht gezocht bij DHL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=172489&s=58&guid=000001672e4838149443e98d68a3107a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c82703ca&cb=1542669744594&jobListingId=2696602792, 20 days ago
